publishedDate,sourceLanguage,sourceRevisionId,sourceTitle,sourceURL,stats,targetLanguage,targetRevisionId,targetTitle,targetURL,translationId
20171006193614,en,802408745,Cultural impact of Madonna,//en.wikipedia.org/wiki/Cultural impact of Madonna,"{'any': 0.5187992674576, 'human': 0.45043395174775, 'mt': 0.06836531570985, 'mtSectionsCount': 6}",ru,88166190,Культурное влияние певицы Мадонны,//ru.wikipedia.org/wiki/Культурное влияние певицы Мадонны,377473
20171006200710,en,793616670,Chaos: The Battle of Wizards,//en.wikipedia.org/wiki/Chaos: The Battle of Wizards,"{'any': 0.69549914675768, 'human': 0.69464590443686, 'mt': 0.00085324232081911, 'mtSectionsCount': 1}",ru,88166646,Chaos: The Battle of Wizards,//ru.wikipedia.org/wiki/Chaos: The Battle of Wizards,377505
20171007010321,en,764474743,Paul Lovens,//en.wikipedia.org/wiki/Paul Lovens,"{'any': 0.88655593857725, 'human': 0.2713882795362, 'mt': 0.61516765904105, 'mtSectionsCount': 14}",ru,88170326,"Ловенс, Пауль","//ru.wikipedia.org/wiki/Ловенс, Пауль",377555
20171007140331,en,742820512,Pre-Columbian Bolivia,//en.wikipedia.org/wiki/Pre-Columbian Bolivia,"{'any': 0.823178285843, 'human': 0.8166460186958, 'mt': 0.0065322671472013, 'mtSectionsCount': 4}",ru,88177868,Доколониальная история Боливии,//ru.wikipedia.org/wiki/Доколониальная история Боливии,377654
20171007151859,en,798123479,"Stateline, Nevada","//en.wikipedia.org/wiki/Stateline, Nevada","{'any': 0.66899389103603, 'human': 0.0032414910858995, 'mt': 0.66575239995013, 'mtSectionsCount': 23}",ru,88179215,Стэйтлайн,//ru.wikipedia.org/wiki/Стэйтлайн,377798
20171008003932,en,802767247,Tosca (band),//en.wikipedia.org/wiki/Tosca (band),"{'any': 0.60555424805837, 'human': 0.29771710990821, 'mt': 0.30783713815015, 'mtSectionsCount': 12}",ru,88188215,Tosca,//ru.wikipedia.org/wiki/Tosca,377924
20171008013628,en,798590512,Outernet,//en.wikipedia.org/wiki/Outernet,"{'any': 0.74757281553398, 'human': 0.73562359970127, 'mt': 0.011949215832711, 'mtSectionsCount': 6}",ru,88188569,Outernet,//ru.wikipedia.org/wiki/Outernet,377928
20171008104333,en,801656288,Hokitika,//en.wikipedia.org/wiki/Hokitika,"{'any': 0.28560620389635, 'human': 0.27983733686401, 'mt': 0.0057688670323435, 'mtSectionsCount': 6}",ru,88194519,Хокитика,//ru.wikipedia.org/wiki/Хокитика,378027
20171008102754,en,801459838,Babillon Tower,//en.wikipedia.org/wiki/Babillon Tower,"{'any': 0.70334190231362, 'human': 0.63084832904884, 'mt': 0.072493573264781, 'mtSectionsCount': 2}",ru,88194178,Вавилонская башня (Батуми),//ru.wikipedia.org/wiki/Вавилонская башня (Батуми),378035
20171008112555,en,787558429,Psammetichus IV,//en.wikipedia.org/wiki/Psammetichus IV,"{'any': 0.73746535651298, 'human': 0.73519778281683, 'mt': 0.0022675736961451, 'mtSectionsCount': 1}",ru,88195294,Псамметих IV,//ru.wikipedia.org/wiki/Псамметих IV,378044
20171018211527,en,792330056,Waimakariri River,//en.wikipedia.org/wiki/Waimakariri River,"{'any': 0.36094939543215, 'human': 0.35960591133005, 'mt': 0.0013434841021048, 'mtSectionsCount': 1}",ru,88198335,Уаимакарири,//ru.wikipedia.org/wiki/Уаимакарири,378077
20171008162042,en,795032091,MagicGate,//en.wikipedia.org/wiki/MagicGate,"{'any': 0.81013106624159, 'human': 0.72759475735034, 'mt': 0.08253630889125, 'mtSectionsCount': 5}",ru,88200424,MagicGate,//ru.wikipedia.org/wiki/MagicGate,378078
20171008153004,en,765361571,Lake Gunn,//en.wikipedia.org/wiki/Lake Gunn,"{'any': 0.68393556813235, 'human': 0.012625163256421, 'mt': 0.67131040487593, 'mtSectionsCount': 7}",ru,88199483,Участник:С 2003 А В/Lake Gunn,//ru.wikipedia.org/wiki/Участник:С 2003 А В/Lake Gunn,378156
20171008183943,en,798365893,Jane of Lantern Hill,//en.wikipedia.org/wiki/Jane of Lantern Hill,"{'any': 0.47404432544995, 'human': 0.47077197679607, 'mt': 0.0032723486538748, 'mtSectionsCount': 2}",ru,88203088,Джейн из Ясных Холмов,//ru.wikipedia.org/wiki/Джейн из Ясных Холмов,378214
20171008201339,en,798130261,Chaturbate,//en.wikipedia.org/wiki/Chaturbate,"{'any': 0.34433962264151, 'human': 0.0053459119496855, 'mt': 0.33899371069182, 'mtSectionsCount': 5}",ru,88204663,Chaturbate,//ru.wikipedia.org/wiki/Chaturbate,378253
20171009080722,en,683237851,Delta (video game),//en.wikipedia.org/wiki/Delta (video game),"{'any': 0.99667553191489, 'human': 0.96642287234043, 'mt': 0.030252659574468, 'mtSectionsCount': 2}",ru,88211508,Delta (компьютерная игра),//ru.wikipedia.org/wiki/Delta (компьютерная игра),378340
20171011142615,en,804721322,Capital of New Zealand,//en.wikipedia.org/wiki/Capital of New Zealand,"{'any': 0.87629130904045, 'human': 0.77607030888626, 'mt': 0.10022100015419, 'mtSectionsCount': 3}",ru,88256782,Столица Новой Зеландии,//ru.wikipedia.org/wiki/Столица Новой Зеландии,378389
20171009122427,en,790265295,Kevin Sullivan (producer),//en.wikipedia.org/wiki/Kevin Sullivan (producer),"{'any': 0.52534999604524, 'human': 0.39966780036384, 'mt': 0.1256821956814, 'mtSectionsCount': 8}",ru,88216234,"Салливан, Кевин","//ru.wikipedia.org/wiki/Салливан, Кевин",378399
20171009114641,en,788911152,Christopher Vogler,//en.wikipedia.org/wiki/Christopher Vogler,"{'any': 0.86448880822747, 'human': 0.76043557168784, 'mt': 0.10405323653962, 'mtSectionsCount': 3}",ru,88215399,Участник:Petrochen/Vogler,//ru.wikipedia.org/wiki/Участник:Petrochen/Vogler,378403
20171009180319,en,802030842,Sabre Wulf,//en.wikipedia.org/wiki/Sabre Wulf,"{'any': 0.80841685786741, 'human': 0.80660548242966, 'mt': 0.0018113754377491, 'mtSectionsCount': 3}",ru,88222698,Sabre Wulf,//ru.wikipedia.org/wiki/Sabre Wulf,378480
20171011142900,en,799250088,Network for the Promotion of Asian Cinema,//en.wikipedia.org/wiki/Network for the Promotion of Asian Cinema,"{'any': 0.066174561370971, 'human': 0.066174561370971, 'mt': 0, 'mtSectionsCount': 0}",ru,88256571,Сеть Продвижения Азиатского Кино (СПАК),//ru.wikipedia.org/wiki/Сеть Продвижения Азиатского Кино (СПАК),378520
20171010065219,en,576269005,MMK-Atakaş Metallurgy,//en.wikipedia.org/wiki/MMK-Atakaş Metallurgy,"{'any': 0.31720960842382, 'human': 0.31391905231984, 'mt': 0.0032905561039816, 'mtSectionsCount': 2}",ru,88230645,ММК-Акаташ,//ru.wikipedia.org/wiki/ММК-Акаташ,378679
20171010075820,en,804387589,Ukhnaagiin Khürelsükh,//en.wikipedia.org/wiki/Ukhnaagiin Khürelsükh,"{'any': 0.57882769075291, 'human': 0.56417382516422, 'mt': 0.014653865588681, 'mtSectionsCount': 3}",ru,88231530,Ухнаагийн Хурэлсух.,//ru.wikipedia.org/wiki/Ухнаагийн Хурэлсух.,378698
20171011113241,en,794059200,Environment of Azerbaijan,//en.wikipedia.org/wiki/Environment of Azerbaijan,"{'any': 0.61280399884649, 'human': 0.60271075651254, 'mt': 0.010093242333942, 'mtSectionsCount': 6}",ru,88253436,Окружающая среда Азербайджана,//ru.wikipedia.org/wiki/Окружающая среда Азербайджана,378706
20171010131433,en,796463212,The Adventures of Oktyabrina,//en.wikipedia.org/wiki/The Adventures of Oktyabrina,"{'any': 0.53274428274428, 'human': 0.46673596673597, 'mt': 0.066008316008316, 'mtSectionsCount': 2}",ru,88235625,Похождения Октябрины,//ru.wikipedia.org/wiki/Похождения Октябрины,378784
20171010134843,en,798900340,Mark Lehner,//en.wikipedia.org/wiki/Mark Lehner,"{'any': 0.79897982842569, 'human': 0.78344539763506, 'mt': 0.015534430790633, 'mtSectionsCount': 4}",ru,88236861,"Ленер, Марк","//ru.wikipedia.org/wiki/Ленер, Марк",378792
20171202174250,en,801145363,Madonna: An Intimate Biography,//en.wikipedia.org/wiki/Madonna: An Intimate Biography,"{'any': 0.93551483420593, 'human': 0.93193717277487, 'mt': 0.0035776614310646, 'mtSectionsCount': 1}",ru,89390137,Мадонна. В постели с богиней,//ru.wikipedia.org/wiki/Мадонна. В постели с богиней,378870
20171010171440,en,775962385,James Grady,//en.wikipedia.org/wiki/James Grady,"{'any': 0, 'human': 0, 'mt': 0, 'mtSectionsCount': 0}",ru,88240713,Участник:PoetVeches/James Grady,//ru.wikipedia.org/wiki/Участник:PoetVeches/James Grady,378893
20171010215852,en,792735103,James Grady (author),//en.wikipedia.org/wiki/James Grady (author),"{'any': 1.1136085002043, 'human': 1.0760114425828, 'mt': 0.037597057621577, 'mtSectionsCount': 2}",ru,88245454,Джеймс Грейди (писатель),//ru.wikipedia.org/wiki/Джеймс Грейди (писатель),378907
20171010180434,en,802928085,J. Randy Taraborrelli,//en.wikipedia.org/wiki/J. Randy Taraborrelli,"{'any': 1.0139944022391, 'human': 1.0139944022391, 'mt': 0, 'mtSectionsCount': 0}",ru,88241618,"Тараборелли, Дж. Рэнди","//ru.wikipedia.org/wiki/Тараборелли, Дж. Рэнди",378909
20171011185329,en,800171781,Abu Isa al-Warraq,//en.wikipedia.org/wiki/Abu Isa al-Warraq,"{'any': 0.53763440860215, 'human': 0.53392658509455, 'mt': 0.003707823507601, 'mtSectionsCount': 1}",ru,88262046,Абу Иса аль-Варак,//ru.wikipedia.org/wiki/Абу Иса аль-Варак,379279
20171019202747,en,777427452,Eurockot Launch Services,//en.wikipedia.org/wiki/Eurockot Launch Services,"{'any': 1.0393996247655, 'human': 1.0131332082552, 'mt': 0.026266416510319, 'mtSectionsCount': 1}",ru,88419013,Eurockot Launch Services,//ru.wikipedia.org/wiki/Eurockot Launch Services,379396
20171012045259,en,804829278,Octreotide,//en.wikipedia.org/wiki/Octreotide,"{'any': 0.60501343864846, 'human': 0.58554111129395, 'mt': 0.019472327354506, 'mtSectionsCount': 16}",ru,88268124,Октреотид,//ru.wikipedia.org/wiki/Октреотид,379413
20171013043721,en,802772856,Eman Ahmed Abd El Aty,//en.wikipedia.org/wiki/Eman Ahmed Abd El Aty,"{'any': 0.81704260651629, 'human': 0.75720551378446, 'mt': 0.05983709273183, 'mtSectionsCount': 7}",ru,88269200,Эман Ахмед абд эль-Ати,//ru.wikipedia.org/wiki/Эман Ахмед абд эль-Ати,379434
20171012065839,en,803777220,Siege of Jadotville,//en.wikipedia.org/wiki/Siege of Jadotville,"{'any': 0.10102064486198, 'human': 0.10102064486198, 'mt': 0, 'mtSectionsCount': 0}",ru,88269412,Участник:Petrochen/Jadotville,//ru.wikipedia.org/wiki/Участник:Petrochen/Jadotville,379436
20171012134635,en,791462328,The Last Ninja,//en.wikipedia.org/wiki/The Last Ninja,"{'any': 0.84669308137763, 'human': 0.80798537031393, 'mt': 0.0387077110637, 'mtSectionsCount': 2}",ru,88275326,The Last Ninja,//ru.wikipedia.org/wiki/The Last Ninja,379478
20171012144001,en,805012327,Mary Cross,//en.wikipedia.org/wiki/Mary Cross,"{'any': 0.98548972188634, 'human': 0.41535671100363, 'mt': 0.57013301088271, 'mtSectionsCount': 1}",ru,88276256,"Кросс, Мэри","//ru.wikipedia.org/wiki/Кросс, Мэри",379581
20171012144735,en,648780881,The Last Ninja (series),//en.wikipedia.org/wiki/The Last Ninja (series),"{'any': 0.27466467958271, 'human': 0.27466467958271, 'mt': 0, 'mtSectionsCount': 0}",ru,88276411,The Last Ninja (серия игр),//ru.wikipedia.org/wiki/The Last Ninja (серия игр),379585
20171012180139,en,803424653,Wikipedian of the Year,//en.wikipedia.org/wiki/Wikipedian of the Year,"{'any': 0.99887577290613, 'human': 0.98351133595653, 'mt': 0.015364436949597, 'mtSectionsCount': 3}",ru,88279974,Wikipedian of the Year,//ru.wikipedia.org/wiki/Wikipedian of the Year,379640
20171012192527,en,775134277,Combining Half Marks,//en.wikipedia.org/wiki/Combining Half Marks,"{'any': 0.8729074137342, 'human': 0.2360778954561, 'mt': 0.6368295182781, 'mtSectionsCount': 5}",ru,88281599,Комбинируемые полузнаки,//ru.wikipedia.org/wiki/Комбинируемые полузнаки,379648
20171012203908,en,799856720,Hamburger Concerto,//en.wikipedia.org/wiki/Hamburger Concerto,"{'any': 0.50106044538706, 'human': 0.49310710498409, 'mt': 0.0079533404029692, 'mtSectionsCount': 2}",ru,88283053,Участник:Sklart/Hamburger Concerto,//ru.wikipedia.org/wiki/Участник:Sklart/Hamburger Concerto,379681
20171012232249,en,805068136,Jacinda Ardern,//en.wikipedia.org/wiki/Jacinda Ardern,"{'any': 0.47161206644073, 'human': 0.46826492615372, 'mt': 0.0033471402870173, 'mtSectionsCount': 3}",ru,88284887,"Ардерн, Джасинда","//ru.wikipedia.org/wiki/Ардерн, Джасинда",379708
20171017232109,en,793370874,Tarski's plank problem,//en.wikipedia.org/wiki/Tarski's plank problem,"{'any': 0.77438808087974, 'human': 0.30932954948563, 'mt': 0.46505853139411, 'mtSectionsCount': 6}",ru,88382933,Задача о покрытии полосками,//ru.wikipedia.org/wiki/Задача о покрытии полосками,379719
20171013062442,en,804350782,The BFG,//en.wikipedia.org/wiki/The BFG,"{'any': 0.66729546566059, 'human': 0.56913295605394, 'mt': 0.098162509606651, 'mtSectionsCount': 11}",ru,88287651,Большой и добрый великан (книга),//ru.wikipedia.org/wiki/Большой и добрый великан (книга),379725
20171013073214,en,804386589,Peter Madsen (inventor),//en.wikipedia.org/wiki/Peter Madsen (inventor),"{'any': 0.67027891277314, 'human': 0.66530467223308, 'mt': 0.0049742405400604, 'mtSectionsCount': 3}",ru,88288402,Петер Мадсен (изобретатель),//ru.wikipedia.org/wiki/Петер Мадсен (изобретатель),379749
20171013111633,en,799336379,Socialist Party Of Malaysia,//en.wikipedia.org/wiki/Socialist Party Of Malaysia,"{'any': 0.085927224901359, 'human': 0.085927224901359, 'mt': 0, 'mtSectionsCount': 0}",ru,88291565,Социалистическая партия Малайзии,//ru.wikipedia.org/wiki/Социалистическая партия Малайзии,379828
20171013140905,en,796677379,Afghan vole,//en.wikipedia.org/wiki/Afghan vole,"{'any': 0.54480028787334, 'human': 0.29650953580425, 'mt': 0.24829075206909, 'mtSectionsCount': 4}",ru,88294344,Афганская полёвка,//ru.wikipedia.org/wiki/Афганская полёвка,379870
20171013195821,en,803314807,African-American names,//en.wikipedia.org/wiki/African-American names,"{'any': 1.0936580774209, 'human': 1.0395340628309, 'mt': 0.054124014589952, 'mtSectionsCount': 6}",ru,88300390,Афроамериканские имена,//ru.wikipedia.org/wiki/Афроамериканские имена,379947
20171014221238,en,799703216,Marcel van der Linden,//en.wikipedia.org/wiki/Marcel van der Linden,"{'any': 0.34642094017094, 'human': 0.31837606837607, 'mt': 0.028044871794872, 'mtSectionsCount': 2}",ru,88322325,"Ван дер Линден, Марсель","//ru.wikipedia.org/wiki/Ван дер Линден, Марсель",380448
20171015061932,en,794271678,Thoughtography,//en.wikipedia.org/wiki/Thoughtography,"{'any': 0.81509591326105, 'human': 0.77831526271893, 'mt': 0.036780650542118, 'mtSectionsCount': 6}",ru,88325789,Мыслеграфия,//ru.wikipedia.org/wiki/Мыслеграфия,380507
20171015082045,en,784224074,Droodles,//en.wikipedia.org/wiki/Droodles,"{'any': 0.63325097070244, 'human': 0.60007059654077, 'mt': 0.033180374161666, 'mtSectionsCount': 3}",ru,88327146,Друдлы,//ru.wikipedia.org/wiki/Друдлы,380537
20171130230305,en,809865694,Madonna singles discography,//en.wikipedia.org/wiki/Madonna singles discography,"{'any': 0.50518742900417, 'human': 0.50458159787959, 'mt': 0.00060583112457402, 'mtSectionsCount': 3}",ru,89356869,Участник:Tintin-tintine/Дискография синглов Мадонны,//ru.wikipedia.org/wiki/Участник:Tintin-tintine/Дискография синглов Мадонны,380608
20180711190641,en,805322221,Madonna (entertainer),//en.wikipedia.org/wiki/Madonna (entertainer),"{'any': 0.86433000640395, 'human': 0.62877403433141, 'mt': 0.23555597207254, 'mtSectionsCount': 48}",ru,88330645,Участник:Tintin-tintine/Madonna (музыкантj),//ru.wikipedia.org/wiki/Участник:Tintin-tintine/Madonna (музыкант),380609
20171015223839,en,800159020,Scottish baronial architecture,//en.wikipedia.org/wiki/Scottish baronial architecture,"{'any': 0.61122726322392, 'human': 0.61018189420866, 'mt': 0.0010453690152624, 'mtSectionsCount': 1}",ru,88342829,Стиль шотландских баронов,//ru.wikipedia.org/wiki/Стиль шотландских баронов,380706
20171015192358,en,798263581,Bangkok Noi District,//en.wikipedia.org/wiki/Bangkok Noi District,"{'any': 0.45200254291163, 'human': 0.0044500953591863, 'mt': 0.44755244755245, 'mtSectionsCount': 20}",ru,88339164,Бангкок Ной,//ru.wikipedia.org/wiki/Бангкок Ной,380788
20171016100329,en,805144916,Halabja Governorate,//en.wikipedia.org/wiki/Halabja Governorate,"{'any': 0.4610268688481, 'human': 0.4610268688481, 'mt': 0, 'mtSectionsCount': 0}",ru,88350925,Халабжа (мухафаза),//ru.wikipedia.org/wiki/Халабжа (мухафаза),380960
20171016151646,en,799113441,Porte-cochère,//en.wikipedia.org/wiki/Porte-cochère,"{'any': 0.60614371914427, 'human': 0.47394404827208, 'mt': 0.13219967087219, 'mtSectionsCount': 4}",ru,88355941,Въездная арка,//ru.wikipedia.org/wiki/Въездная арка,381067
20171016150639,en,772195013,Guananico,//en.wikipedia.org/wiki/Guananico,"{'any': 0.67713239141811, 'human': 0.18890633176347, 'mt': 0.48822605965463, 'mtSectionsCount': 7}",ru,88355791,Гуананико,//ru.wikipedia.org/wiki/Гуананико,381084
20171021081953,en,805620431,Sanctions against North Korea,//en.wikipedia.org/wiki/Sanctions against North Korea,"{'any': 0.99894015979129, 'human': 0.32015326919941, 'mt': 0.67878689059188, 'mtSectionsCount': 36}",ru,88358721,Санкции против КНДР,//ru.wikipedia.org/wiki/Санкции против КНДР,381131
20171018144423,en,805000752,Summer Storm (1944 film),//en.wikipedia.org/wiki/Summer Storm (1944 film),"{'any': 0.74295190713101, 'human': 0.72692095080155, 'mt': 0.016030956329464, 'mtSectionsCount': 2}",ru,88394916,Летняя буря,//ru.wikipedia.org/wiki/Летняя буря,381309
20171017172511,en,765296927,Kasba (film),//en.wikipedia.org/wiki/Kasba (film),"{'any': 0.85070993914807, 'human': 0.82474645030426, 'mt': 0.025963488843813, 'mtSectionsCount': 2}",ru,88377433,Городок (фильм),//ru.wikipedia.org/wiki/Городок (фильм),381310
20171017155602,en,805498728,Halemaumau Crater,//en.wikipedia.org/wiki/Halemaumau Crater,"{'any': 0.38521603331598, 'human': 0.24770085025161, 'mt': 0.13751518306438, 'mtSectionsCount': 11}",ru,88375577,Кратер Халемаумау,//ru.wikipedia.org/wiki/Кратер Халемаумау,381439
20171017164635,en,803506799,Pueblo Revival architecture,//en.wikipedia.org/wiki/Pueblo Revival architecture,"{'any': 0.57621225983532, 'human': 0.56468435498628, 'mt': 0.011527904849039, 'mtSectionsCount': 5}",ru,88376609,Пуэбло (стиль),//ru.wikipedia.org/wiki/Пуэбло (стиль),381450
20171017200547,en,800312175,2016 San Pablito Market fireworks explosion,//en.wikipedia.org/wiki/2016 San Pablito Market fireworks explosion,"{'any': 0.86438617815593, 'human': 0.85917694044105, 'mt': 0.0052092377148811, 'mtSectionsCount': 5}",ru,88380509,Взрывы фейерверков в Тультепеке,//ru.wikipedia.org/wiki/Взрывы фейерверков в Тультепеке,381527
20171018141155,en,802150360,Ward Six,//en.wikipedia.org/wiki/Ward Six,"{'any': 0.58067375886525, 'human': 0.51507092198582, 'mt': 0.065602836879433, 'mtSectionsCount': 3}",ru,88394352,"Палата № 6 (фильм, Югославия)","//ru.wikipedia.org/wiki/Палата № 6 (фильм, Югославия)",381802
20171019032531,en,763659454,World Ocean Atlas,//en.wikipedia.org/wiki/World Ocean Atlas,"{'any': 0.97464239271782, 'human': 0.96358907672302, 'mt': 0.011053315994798, 'mtSectionsCount': 4}",ru,88403961,Атлас Мирового Океана,//ru.wikipedia.org/wiki/Атлас Мирового Океана,381991
20171024165723,en,801926614,Sakura no Sono,//en.wikipedia.org/wiki/Sakura no Sono,"{'any': 0.91076624636275, 'human': 0.83729388942774, 'mt': 0.073472356935015, 'mtSectionsCount': 2}",ru,88535284,Сад сакуры,//ru.wikipedia.org/wiki/Сад сакуры,382060
20171202073647,en,808645714,Radio 1 Madonna controversy,//en.wikipedia.org/wiki/Radio 1 Madonna controversy,"{'any': 1.043865842895, 'human': 1.043865842895, 'mt': 0, 'mtSectionsCount': 0}",ru,88408323,Скандал Radio 1 по поводу песен Мадонны,//ru.wikipedia.org/wiki/Скандал Radio 1 по поводу песен Мадонны,382064
20171103183607,en,736713004,Bauskas alus,//en.wikipedia.org/wiki/Bauskas alus,"{'any': 0.79220779220779, 'human': 0.78571428571429, 'mt': 0.0064935064935065, 'mtSectionsCount': 1}",ru,88409256,Bauskas alus,//ru.wikipedia.org/wiki/Bauskas alus,382102
20171019152035,en,757913600,Through the Wilderness,//en.wikipedia.org/wiki/Through the Wilderness,"{'any': 0.78355586788475, 'human': 0.78355586788475, 'mt': 0, 'mtSectionsCount': 0}",ru,88412488,Through the Wilderness,//ru.wikipedia.org/wiki/Through the Wilderness,382119
20171019161022,en,663843772,Wild Honey (play),//en.wikipedia.org/wiki/Wild Honey (play),"{'any': 0.70289855072464, 'human': 0.66459627329193, 'mt': 0.038302277432712, 'mtSectionsCount': 1}",ru,88413960,Дикий мёд (пьеса),//ru.wikipedia.org/wiki/Дикий мёд (пьеса),382156
20171019171755,en,798746980,Cliff Gallup,//en.wikipedia.org/wiki/Cliff Gallup,"{'any': 0.74785223367698, 'human': 0.74054982817869, 'mt': 0.0073024054982818, 'mtSectionsCount': 3}",ru,88415342,Клифф Гэллап,//ru.wikipedia.org/wiki/User:Денис Цуркан/Клифф Гэллап,382199
20171024181300,en,786386361,Bristol Byzantine,//en.wikipedia.org/wiki/Bristol Byzantine,"{'any': 0.5928160131615, 'human': 0.43432958596106, 'mt': 0.15848642720044, 'mtSectionsCount': 10}",ru,88414740,Бристольский византизм,//ru.wikipedia.org/wiki/Бристольский византизм,382216
20171019193901,en,789105269,A Certain Sacrifice,//en.wikipedia.org/wiki/A Certain Sacrifice,"{'any': 0.65567674764502, 'human': 0.65567674764502, 'mt': 0, 'mtSectionsCount': 0}",ru,88417572,A Certain Sacrifice,//ru.wikipedia.org/wiki/Участник:Tintin-tintine/A Certain Sacrifice,382274
20171020150102,en,805930346,Supreme Council of Antiquities,//en.wikipedia.org/wiki/Supreme Council of Antiquities,"{'any': 0.4950468054167, 'human': 0.48441334181587, 'mt': 0.010633463600836, 'mtSectionsCount': 4}",ru,88433900,Верховный Совет Древностей Египта,//ru.wikipedia.org/wiki/Верховный Совет Древностей Египта,382331
20171019210529,en,794059488,DIN 31635,//en.wikipedia.org/wiki/DIN 31635,"{'any': 0.84711139482924, 'human': 0.83466326204915, 'mt': 0.012448132780083, 'mtSectionsCount': 4}",ru,88419573,DIN 31635,//ru.wikipedia.org/wiki/DIN 31635,382335
20171020141009,en,724365237,Thomas William Hall,//en.wikipedia.org/wiki/Thomas William Hall,"{'any': 0.47099767981439, 'human': 0.47099767981439, 'mt': 0, 'mtSectionsCount': 0}",ru,88432902,"Холл, Томас Уильям","//ru.wikipedia.org/wiki/Холл, Томас Уильям",382545
20171020174314,en,800987637,Amanda Walsh,//en.wikipedia.org/wiki/Amanda Walsh,"{'any': 0.90205627705628, 'human': 0.0032467532467532, 'mt': 0.89880952380952, 'mtSectionsCount': 15}",ru,88437059,"Уолш, Аманда","//ru.wikipedia.org/wiki/Уолш, Аманда",382612
20171020190925,en,805406809,Aloysia Weber,//en.wikipedia.org/wiki/Aloysia Weber,"{'any': 0.79845189104448, 'human': 0.0047031158142269, 'mt': 0.79374877523026, 'mtSectionsCount': 33}",ru,88438093,Участник:EUvin/Aloysia Weber,//ru.wikipedia.org/wiki/Участник:EUvin/Aloysia Weber,382623
20171021102724,en,796742374,Afterplay (play),//en.wikipedia.org/wiki/Afterplay (play),"{'any': 0.85122975404919, 'human': 0.84763047390522, 'mt': 0.0035992801439712, 'mtSectionsCount': 1}",ru,88449596,После занавеса,//ru.wikipedia.org/wiki/После занавеса,382732
